username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match,update_requires,github_latest_vers,github_earliest_vers,IsEarliestVerReleases
rsjaffe,MIDI2LR,5.3.0.2,exe,rsjaffe.MIDI2LR,MIDI2LR-5.3.0.2-windows-installer.exe,PatternMatchOnlyNum,Yes,v6.1.0.0,v6.1.0.0,absent
Suwayomi,Tachidesk-Server,0.7.0,msi,Suwayomi.Tachidesk-Server,Tachidesk-Server-v0.7.0-r1197-windows-x64.msi,PatternMatchOnlyNum,Yes,v1.0.0,v1.0.0,absent
murgatt,recode-converter,1.2.0,exe,murgatt.recode-converter,Recode-Converter-Setup-1.2.0.exe,PatternMatchOnlyNum,Yes,v2.0.2,v2.0.2,absent
JaydenDev,Catalyst,3.2.2,exe,JaydenDev.Catalyst3,catalyst-3.2.2.Setup.exe,PatternMatchOnlyNum,Yes,v3.5.4,v4.0.0-beta.3,present
sabnzbd,sabnzbd,4.1.0,exe,SABnzbdTeam.SABnzbd,SABnzbd-4.1.0-win-setup.exe,PatternMatchOnlyNum,Yes,4.2.2,4.2.3RC3,present
intxcc,pyaudio_portaudio,0.2.11,msi,intxcc.pyaudio,PyAudio-0.2.11.win-amd64-py3.7.msi,PatternMatchOnlyNum,Yes,1.1.1,1.1.1,absent
alagrede,znote-app,2.3.11,exe,alagrede.znote,znote-Setup-2.3.11.exe,PatternMatchOnlyNum,Yes,v2.5.2,v2.5.2,absent
lure0xaos,rpycg,1.0.0,msi,TamsosVardu.RenPyCheatGenerator,RenPyCheatGenerator-1.0.0.msi,PatternMatchOnlyNum,Yes,kotlin,kotlin,absent
sithlord48,blackchocobo,1.14.0,exe,ChrisRizzitello.BlackChocobo,Black_Chocobo-v1.14.0-win64-installer.exe,PatternMatchOnlyNum,Yes,continuous,continuous,absent
spyglass-search,spyglass,23.5.1,msi,athlabs.Spyglass,Spyglass_23.5.1_x64_en-US.msi,PatternMatchOnlyNum,Yes,v2023.11.1,v2023.11.1,absent
Nitrokey,pynitrokey,0.4.43,msi,NitrokeyGmbH.Nitropy,nitropy-v0.4.43-x64-windows-installer.msi,PatternMatchOnlyNum,Yes,v0.4.45,v0.4.45,absent
G07cha,pomodoro,3.4.2,exe,g07cha.pomodoro,Pomodoro_3.4.2_x64-setup.exe,PatternMatchOnlyNum,Yes,v3.5.0,v3.5.0,absent
tetratelabs,wazero,1.0.3,msi,Tetrate.wazero,wazero_1.0.3_windows_amd64.msi,PatternMatchOnlyNum,Yes,v1.6.0,v1.6.0,absent
saturneric,GpgFrontend,2.1.0,exe,Saturneric.GpgFrontend,GpgFrontend-2.1.0-windows-x86_64-setup.exe,PatternMatchOnlyNum,Yes,v2.1.2,v2.1.2,absent
pgerke,get-odassey,3.0.4,exe,PhilipGerke.Odassey,Odassey_win_x64_v3.0.4.exe,PatternMatchOnlyNum,Yes,v3.2.0,v3.2.0,absent
Moosync,Moosync,8.1.1,exe,Ovenoboyo.Moosync,Moosync-8.1.1-win-x64.exe,PatternMatchOnlyNum,Yes,v10.3.2,v10.3.2,absent
nathancorvussolis,corvusskk,3.2.2,exe,nathancorvussolis.corvusskk,corvusskk-3.2.2.exe,PatternMatchOnlyNum,Yes,3.2.3,3.2.3,absent
MrDavidRios,remindr_releases,2.1.7,exe,DavidRios.Remindr,Remindr-Setup-2.1.7.exe,PatternMatchOnlyNum,Yes,v2.1.8,v2.1.8,absent
brimdata,zui,1.5.0,exe,brimdata.brim,Zui-Setup-1.5.0.exe,PatternMatchOnlyNum,Yes,v1.6.0,v1.6.0,absent
ciderapp,Cider,1.6.1,exe,CiderCollective.Cider,Cider-Setup-winget-1.6.1.exe,PatternMatchOnlyNum,Yes,v1.6.2,v1.6.2,absent
Bible-Projects,believers-sword-app,0.8.5,exe,JenuelOrasGanawed.BelieversSword,Believers-Sword-Setup-0.8.5.exe,PatternMatchOnlyNum,Yes,v1.3.4,v1.3.4,absent
taers232c,GAMADV-XTD3,6.71.08,msi,taers232c.GAMADV-XTD3,gamadv-xtd3-6.71.08-windows-x86_64.msi,PatternMatchOnlyNum,Yes,v6.71.09,v6.71.09,absent
RandomEngy,VidCoder,9.18,exe,RandomEngy.VidCoder,VidCoder-9.18.exe,PatternMatchOnlyNum,Yes,v9.20,v9.20,absent
ktgw0316,LightZone,4.2.4,exe,LightZoneProject.LightZone,LightZone_Installer_4.2.4_20220227_windows-x64.exe,PatternMatchOnlyNum,Yes,4.2.5,5.0.0beta2,present
mentebinaria,retoolkit,2023.05,exe,mentebinaria.retoolkit,retoolkit_2023.05_setup.exe,PatternMatchOnlyNum,Yes,2023.10,2023.10,absent
unknown-horizons,unknown-horizons,2019.1,exe,Unknown-HorizonsTeam.Unknown-Horizons,Unknown-Horizons-2019.1.214-Setup-VC15-x86.exe,PatternMatchOnlyNum,Yes,2019-dev,2019-dev,absent
D4koon,WhatsappTray,1.9.0.0,exe,D4koon.WhatsappTray,WhatsappTrayV1.9.0.0.exe,PatternMatchOnlyNum,Yes,v1.9.0,v1.9.0,absent
ea4k,klog,2.3.2,exe,EA4K.KLog,KLog-2.3.2.-windows-installer.exe,PatternMatchOnlyNum,Yes,2.3.4,2.3.4,absent
WindowTop,WindowTop-App,5.22.5,exe,gileli121.windowtop,WindowTop.5.22.5.-.setup.exe,PatternMatchOnlyNum,Yes,v5.22.7,v5.22.7,absent
SnailKM,SnailKM-Software,1.2.6,exe,SnailDOS.SnailKM,SnailKM-Setup-1.2.6.exe,PatternMatchOnlyNum,Yes,v1.4.0,v1.4.0,absent
svenstaro,miniserve,0.24.0,exe,svenstaro.miniserve,miniserve-0.24.0-x86_64-pc-windows-msvc.exe,PatternMatchOnlyNum,Yes,v0.26.0,v0.26.0,absent
cangzhang,champ-r,1.3.11,exe,cangzhang.champ-r,ChampR-Setup-1.3.11.exe,PatternMatchOnlyNum,Yes,v2.0.2-b7,v2.0.2-b7,absent
qingfeng346,Scorpio-CSharp,2.3.10,msi,Scorpio.sco,sco-2.3.10-win-x64.msi,PatternMatchOnlyNum,Yes,v2.7.0,v2.7.0,absent
tanshuai,alphabiz,0.2.4,msi,tanshuai.alphabiz,alphabiz-0.2.4.msi,PatternMatchOnlyNum,Yes,0.3.0,0.2.5-nightly-202308261841,present
adobe,cryptr,0.5.0,exe,Adobe.Cryptr,Cryptr.Setup.0.5.0.exe,PatternMatchOnlyNum,Yes,v0.6.0,v0.6.0,absent
JvanKatwijk,qt-dab,5.4,exe,JvanKatwijk.Qt-DAB,setup-qt-dab32-5.4.exe,PatternMatchOnlyNum,Yes,Qt-DAB-6.5,Qt-DAB-6.5,absent
ElisaMin,Heizi-Flashing-Tools,0.0.8,exe,Heizi.HeiziFlashTools,HeiziFlashTools-lzma-0.0.8.exe,PatternMatchOnlyNum,Yes,0.0.9,0.0.9,absent
willnewii,qiniuClient,0.0.9,exe,willnewii.qiniuClient,qiniu.client-0.0.9-win.exe,PatternMatchOnlyNum,Yes,0.3.0,0.3.0,absent
undergroundwires,privacy.sexy,0.11.4,exe,undergroundwires.privacy.sexy,privacy.sexy-Setup-0.11.4.exe,PatternMatchOnlyNum,Yes,0.13.0,0.13.0,absent
HMCL-dev,HMCL,3.5.5.236,exe,huanghongxun.HelloMinecraftLauncher,HMCL-3.5.5.236.exe,PatternMatchOnlyNum,Yes,v3.5.6.239,v3.5.6.239,absent
SaladTechnologies,salad-applications,1.3.6,exe,SaladTechnologies.Salad,Salad-1.3.6.exe,PatternMatchOnlyNum,Yes,1.4.2,1.4.2,absent
glyphr-studio,Glyphr-Studio-Desktop,0.5.6,exe,GlyphrStudio.Desktop,Glyphr.Studio.Setup.0.5.6.exe,PatternMatchOnlyNum,Yes,v0.6.0,v0.6.0,absent
rink-turksma,IntunePrepTool,1.2.7.0,msi,rink-turksma.IntunePrepTool,IntunePrepTool-1.2.7.0.msi,PatternMatchOnlyNum,Yes,IntunePrepTool-1.2.8.0,IntunePrepTool-1.2.8.0,absent
jopohl,urh,2.9.4,exe,JohannesPohl.UniversalRadioHacker,Universal.Radio.Hacker-2.9.4-x64.exe,PatternMatchOnlyNum,Yes,v2.9.6,v2.9.6,absent
Picorims,wav2bar,0.3.0,msi,Picorims.wav2bar,Wav2Bar-win32-x64-0.3.0-beta.msi,PatternMatchOnlyNum,Yes,v0.3.3-beta,v0.3.3-beta,absent
JackHumphries9,Socially,1.0.0,exe,JackHumphries.Socially,Socially-Windows_1.0.0-amd64.exe,PatternMatchOnlyNum,Yes,V1.0,V1.0,absent
heyman,heynote,1.6.0,exe,JonatanHeyman.Heynote,Heynote_1.6.0.exe,PatternMatchOnlyNum,Yes,v1.7.0,v1.7.0,absent
Todolist-io,Todolist-releases,0.43.18,exe,blaadje.Todolist,Todolist-Setup-0.43.18.exe,PatternMatchOnlyNum,Yes,v0.43.20,v0.43.20,absent
valnoxy,checkip,2.2.0.0,exe,Exploitox.CheckIP,CheckIP_2.2.0.0_x64.exe,PatternMatchOnlyNum,Yes,v2.2.0,v2.2.0,absent
iminet,DarkSwitcher,1.1.8622,exe,Iminetsoft.DarkSwitcher,DarkSwitcher.1.1.8622.setup.exe,PatternMatchOnlyNum,Yes,v1.2.8463,v1.2.8463,absent
foamzou,media-get,0.2.11,exe,foamzou.media-get,media-get-0.2.11-win.exe,PatternMatchOnlyNum,Yes,v0.2.13,v0.2.13,absent
trustcrypto,OnlyKey-App,5.3.6,exe,CryptoTrust.OnlyKeyApp,OnlyKey_5.3.6.exe,PatternMatchOnlyNum,Yes,v5.5.0,v5.5.0,absent
iterative,dvc,2.58.2,exe,Iterative.DVC,dvc-2.58.2.exe,PatternMatchOnlyNum,Yes,3.48.1,3.48.1,absent
LukeBriggsDev,Pepys,1.5.4,exe,LukeBriggs.Pepys,pepys.1.5.4.win.x86_64.installer.exe,PatternMatchOnlyNum,Yes,v1.5.5,v1.5.5,absent
owlbear-rodeo,kenku-fm,1.4.0,exe,OwlbearRodeo.Kenku-FM,kenku-fm-1.4.0-win32-x64.exe,PatternMatchOnlyNum,Yes,v1.4.3,v1.4.3,absent
NDXCode,Eclipse-Flash-Tool,1.8,exe,NDXCode.EclipseFlashTool,Eclipse.Flash.Tool-v1.8-x86.exe,PatternMatchOnlyNum,Yes,v1.9,v1.9,absent
Governikus,AusweisApp2,1.26.5,msi,Governikus.AusweisApp2,AusweisApp2-1.26.5.msi,PatternMatchOnlyNum,Yes,2.1.0,2.1.0,absent
AlDanial,cloc,1.98,exe,AlDanial.Cloc,cloc-1.98.exe,PatternMatchOnlyNum,Yes,v2.00,v2.00,absent
sc0ty,subsync,0.17.0,msi,sc0ty.SubSync,subsync-0.17.0-amd64.msi,PatternMatchOnlyNum,Yes,0.17,0.17,absent
fzf404,Monit,0.8.0,exe,fzf404.Monit,Monit-0.8.0-win-x64.exe,PatternMatchOnlyNum,Yes,v0.8.1,v0.8.1,absent
roryok,poe-auto-updater,2.3.16,exe,roryok.poe-writer,Poe-Setup.2.3.16.exe,PatternMatchOnlyNum,Yes,2.5.4,2.5.4,absent
webrecorder,replayweb.page,1.8.14,exe,webrecorder.replayweb-page,ReplayWeb.page-1.8.14.exe,PatternMatchOnlyNum,Yes,v1.8.15,v1.8.15,absent
reycn,listen1-desktop-fluent,2.17.1,exe,listen1.listen1.fluent,Listen1_2.17.1_win64.exe,PatternMatchOnlyNum,Yes,v2.28.0,v2.28.0,absent
ProtonVPN,win-app,3.2.8,exe,ProtonTechnologies.ProtonVPN,ProtonVPN_v3.2.8.exe,PatternMatchOnlyNum,Yes,3.2.10,3.2.10,absent
svenstaro,genact,1.3.0,exe,svenstaro.genact,genact-1.3.0-x86_64-pc-windows-msvc.exe,PatternMatchOnlyNum,Yes,v1.4.2,v1.4.2,absent
JannisX11,blockbench,4.9.1,exe,JannisX11.Blockbench,Blockbench_4.9.1.exe,PatternMatchOnlyNum,Yes,v4.9.4,v4.9.4,absent
rancher-sandbox,rancher-desktop,1.11.1,msi,suse.RancherDesktop,Rancher.Desktop.Setup.1.11.1.msi,PatternMatchOnlyNum,Yes,v1.12.3,v1.12.3,absent
dogecoin,dogecoin,1.14.6,exe,DogecoinCoreproject.DogecoinCore,dogecoin-1.14.6-win64-setup-unsigned.exe,PatternMatchOnlyNum,Yes,v1.14.7,v1.14.7,absent
vividos,winLAME,2.21.1.108,msi,vividos.winLAME,winLAME-Setup-2.21.1.108.msi,PatternMatchOnlyNum,Yes,winlame-2023-release-1,winlame-2023-release-1,absent
warpdesign,react-explorer,2.3.1,exe,NicolasRamz.React-Explorer,React-Explorer.Setup.2.3.1.exe,PatternMatchOnlyNum,Yes,v3.1.0,v3.1.0,absent
ente-io,bhari-frame,1.4.1,exe,ente-io.ente,ente-1.4.1.exe,PatternMatchOnlyNum,Yes,v1.6.63,v1.6.63,absent
rime,weasel,0.14.3,exe,Rime.Weasel,weasel-0.14.3.0-installer.exe,PatternMatchOnlyNum,Yes,0.15.0,latest,present
ryanvolz,radioconda,2023.07.26,exe,ryanvolz.radioconda,radioconda-2023.07.26-Windows-x86_64.exe,PatternMatchOnlyNum,Yes,2024.01.26,2024.01.26,absent
fupdec,mediaChips,0.11.2,exe,fupdec.mediaChips,mediaChips.v0.11.2.Windows.Installer.exe,PatternMatchOnlyNum,Yes,v0.11.3-beta,v0.11.3-beta,absent
