username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match,update_requires,github_latest_vers,github_earliest_vers,IsEarliestVerReleases
h3poteto,fedistar,1.9.0,msi,h3poteto.fedistar,fedistar_1.9.0_x64_en-US.msi,PatternMatchOnlyNum,Yes,v1.9.2,v1.9.2,absent
PurpleI2P,i2pd,2.50.2,exe,PurpleI2P.i2pd,setup_i2pd_v2.50.2.exe,PatternMatchOnlyNum,Yes,2.51.0,2.51.0,absent
aislxflames,flame-launcher,1.0.4,exe,aislx.FlameLauncher,Flame-Launcher.-v1.0.4.-setup-x64.exe,PatternMatchOnlyNum,Yes,v1.0.5,v1.0.5,absent
mscststs,LANService,1.0.5,exe,mscststs.LANService,LANService.Setup.1.0.5.exe,PatternMatchOnlyNum,Yes,v0.0.5,v0.0.5,absent
sprout2000,elephicon,2.9.2,exe,sprout2000.Elephicon,Elephicon-2.9.2-win32-x64-installer.exe,PatternMatchOnlyNum,Yes,v2.9.3,v2.9.3,absent
fupdec,mediaChips,0.11.2,exe,fupdec.mediaChips,mediaChips.v0.11.2.Windows.Installer.exe,PatternMatchOnlyNum,Yes,v0.11.3-beta,v0.11.3-beta,absent
yourtablecloth,TableCloth,0.5.5,msi,TableClothProject.TableCloth,TableCloth_0.5.5_Setup.msi,PatternMatchOnlyNum,Yes,v1.13.0,v1.13.0,absent
google,agi,3.3.0,msi,Google.AndroidGPUInspector,agi-3.3.0-windows.msi,PatternMatchOnlyNum,Yes,3.3.1,3.3.1,absent
purocean,yn,3.67.1,exe,purocean.YankNote,Yank-Note-win-x64-3.67.1.exe,PatternMatchOnlyNum,Yes,v3.66.1,v3-next-02,present
pgerke,get-odassey,3.0.4,exe,PhilipGerke.Odassey,Odassey_win_x64_v3.0.4.exe,PatternMatchOnlyNum,Yes,v3.2.0,v3.2.0,absent
MoneyTools,MyMoney.Net,2.0.1.10,msixbundle,LovettSoftware.MyMoney.Net,MoneyPackage_2.0.1.10_AnyCPU.msixbundle,PatternMatchOnlyNum,Yes,2.1.0.17,2.1.0.17,absent
M2Team,NanaZip,3.0.756.0,msixbundle,M2Team.NanaZip.Preview,40174MouriNaruto.NanaZipPreview_3.0.756.0_gnj4mf6z9tkrc.msixbundle,PatternMatchOnlyNum,Yes,2.0.450,3.0.756,present
Timthreetwelve,WUView,0.5.24.0,exe,Timthreetwelve.WUView,WindowsUpdateViewer_0.5.24.0_Setup.exe,PatternMatchOnlyNum,Yes,v0.6.0,v0.6.0,absent
toeverything,AFFiNE,0.13.1,exe,AFFiNE.stable,affine-0.13.1-stable-windows-x64.exe,PatternMatchOnlyNum,Yes,v0.13.4,v0.14.0-canary.8,present
JackHumphries9,Socially,1.0.0,exe,JackHumphries.Socially,Socially-Windows_1.0.0-amd64.exe,PatternMatchOnlyNum,Yes,V1.0,V1.0,absent
Anjok07,ultimatevocalremovergui,5.6.0,exe,Anjok07.UltimateVocalRemover,UVR_v5.6.0_setup.exe,PatternMatchOnlyNum,Yes,v5.6,v5.6,absent
dogecoin,dogecoin,1.14.6,exe,DogecoinCoreproject.DogecoinCore,dogecoin-1.14.6-win64-setup-unsigned.exe,PatternMatchOnlyNum,Yes,v1.14.7,v1.14.7,absent
ea4k,klog,2.3.2,exe,EA4K.KLog,KLog-2.3.2.-windows-installer.exe,PatternMatchOnlyNum,Yes,2.3.4,2.3.4,absent
NuclearDevelopers,Dichromate,110.0.5481.178,exe,Dichromate.Browser,dichromate-110.0.5481.178.exe,PatternMatchOnlyNum,Yes,111.0.5563.65,111.0.5563.65,absent
saturneric,GpgFrontend,2.1.0,exe,Saturneric.GpgFrontend,GpgFrontend-2.1.0-windows-x86_64-setup.exe,PatternMatchOnlyNum,Yes,v2.1.2,v2.1.2,absent
ente-io,bhari-frame,1.4.1,exe,ente-io.ente,ente-1.4.1.exe,PatternMatchOnlyNum,Yes,v1.6.63,v1.6.63,absent
MrDavidRios,remindr_releases,2.1.7,exe,DavidRios.Remindr,Remindr-Setup-2.1.7.exe,PatternMatchOnlyNum,Yes,v2.1.9,v2.1.9,absent
closeio,closeio-desktop-releases,8.0.2,exe,closeio.Close,Close-Setup-8.0.2.exe,PatternMatchOnlyNum,Yes,v8.0.5,v8.0.5,absent
sc0ty,subsync,0.17.0,msi,sc0ty.SubSync,subsync-0.17.0-amd64.msi,PatternMatchOnlyNum,Yes,0.17,0.17,absent
Governikus,AusweisApp2,1.26.5,msi,Governikus.AusweisApp2,AusweisApp2-1.26.5.msi,PatternMatchOnlyNum,Yes,2.1.0,2.1.0,absent
trinsic-id,sdk,1.7.0,msi,trinsic.cli,trinsic-1.7.0-x86_64.msi,PatternMatchOnlyNum,Yes,v1.14.0,v1.14.0,absent
monsterkodi,clippo,1.35.0,exe,monsterkodi.clippo,clippo-1.35.0-setup.exe,PatternMatchOnlyNum,Yes,v1.40.0,v1.40.0,absent
WindowTop,WindowTop-App,5.22.5,exe,gileli121.windowtop,WindowTop.5.22.5.-.setup.exe,PatternMatchOnlyNum,Yes,v5.22.8,v5.22.8,absent
usemotion,desktopapp,0.43.0,exe,MotionTeam.MotionDesktopApp,Motion-0.43.0.Setup.exe,PatternMatchOnlyNum,Yes,0.67.0,v0.99.0,present
asgardex,asgardex-desktop,1.21.0,exe,ASGARDEXMaintainers.ASGARDEX,ASGARDEX-1.21.0-win.exe,PatternMatchOnlyNum,Yes,v1.21.5,v1.21.5,absent
Moosync,Moosync,8.1.1,exe,Ovenoboyo.Moosync,Moosync-8.1.1-win-x64.exe,PatternMatchOnlyNum,Yes,v10.3.2,v10.3.2,absent
RandomEngy,VidCoder,9.18,exe,RandomEngy.VidCoder,VidCoder-9.18.exe,PatternMatchOnlyNum,Yes,v9.20,v9.20,absent
FedoraQt,MediaWriter,5.0.9,exe,Fedora.FedoraMediaWriter,FedoraMediaWriter-win64-5.0.9.exe,PatternMatchOnlyNum,Yes,5.1.1,5.1.1,absent
RareDevs,Rare,1.10.7,msi,Dummerle.Rare,Rare-1.10.7.msi,PatternMatchOnlyNum,Yes,1.10.11,1.10.11.201,present
hackaru-app,hackaru-desktop,1.5.18,exe,ktmouk.Hackaru,hackaru-desktop-v1.5.18.exe,PatternMatchOnlyNum,Yes,v1.5.21,v1.5.21,absent
jeanslack,Videomass,3.5.8,exe,GianlucaPernigotto.Videomass,Videomass-v3.5.8-x86_64-Setup.exe,PatternMatchOnlyNum,Yes,v5.0.11,v5.0.11,absent
D4koon,WhatsappTray,1.9.0.0,exe,D4koon.WhatsappTray,WhatsappTrayV1.9.0.0.exe,PatternMatchOnlyNum,Yes,v1.9.0,v1.9.0,absent
maplemedia,pulse-sms-desktop,4.5.2,exe,MapleMedia.PulseSMS,pulse-sms-4.5.2.exe,PatternMatchOnlyNum,Yes,v4.5.3,v4.5.3,absent
murgatt,recode-converter,1.2.0,exe,murgatt.recode-converter,Recode-Converter-Setup-1.2.0.exe,PatternMatchOnlyNum,Yes,v2.0.3,v2.0.3,absent
UnigramDev,Unigram,10.8.0.9930,msixbundle,Telegram.Unigram,Unigram_10.8.0.9930_x64.msixbundle,PatternMatchOnlyNum,Yes,v10.8,v10.8,absent
unknown-horizons,unknown-horizons,2019.1,exe,Unknown-HorizonsTeam.Unknown-Horizons,Unknown-Horizons-2019.1.214-Setup-VC15-x86.exe,PatternMatchOnlyNum,Yes,2019-dev,2019-dev,absent
OpenBB-finance,OpenBBTerminal,3.2.4,exe,OpenBB-finance.OpenBBTerminal,Windows.OpenBB.Terminal.v3.2.4.exe,PatternMatchOnlyNum,Yes,v3.2.5,v3.2.5,absent
mar10,pyftpsync,4.0.0.0,msi,mar10.pyftpsync,pyftpsync-4.0.0.0-win64.msi,PatternMatchOnlyNum,Yes,v4.0.0,v4.0.0,absent
scandum,tintin,2.02.31,msi,Scandum.WinTin++,wintin-2.02.31.msi,PatternMatchOnlyNum,Yes,2.02.41,2.02.41,absent
JvanKatwijk,qt-dab,5.4,exe,JvanKatwijk.Qt-DAB,setup-qt-dab32-5.4.exe,PatternMatchOnlyNum,Yes,Qt-DAB-6.X,Qt-DAB-6.X,absent
brimdata,zui,1.5.0,exe,brimdata.brim,Zui-Setup-1.5.0.exe,PatternMatchOnlyNum,Yes,v1.7.0,v1.7.0,absent
hmatuschek,kochmorse,3.5.0,exe,hmatuschek.kochmorse,kochmorse-3.5.0-setup.exe,PatternMatchOnlyNum,Yes,v3.5.1,v3.5.1,absent
RandomEngy,VidCoder,9.13,exe,RandomEngy.VidCoder.Beta,VidCoder-9.13-Beta.exe,PatternMatchOnlyNum,Yes,v9.20,v9.20,absent
qingfeng346,stools,1.0.1,msi,Scorpio.stools,stools-1.0.1-win-x64.msi,PatternMatchOnlyNum,Yes,v1.0.2,v1.0.2,absent
0xGingi,0xgingi-browser,114.0.5735.91,exe,The0xGingi-BrowserAuthors.0xGingi-BrowserInstaller,0xgingi-browser-114.0.5735.91-1.2_installer.exe,PatternMatchOnlyNum,Yes,115.0.5790.110,115.0.5790.110,absent
bambulab,BambuStudio,01.08.04.51,exe,Bambulab.Bambustudio,Bambu_Studio_win_public-v01.08.04.51-20240117164301.exe,PatternMatchOnlyNum,Yes,v01.09.00.60,v01.09.00.60,absent
obsproject,obs-studio,30.1.1,exe,OBSProject.OBSStudio,OBS-Studio-30.1.1-Full-Installer-x64.exe,PatternMatchOnlyNum,Yes,30.1.2,30.1.2,absent
KorigamiK,mangu,2.3.1,exe,KorigamiK.mangu,ManguReader.Setup.2.3.1.exe,PatternMatchOnlyNum,Yes,continuous_releases,continuous_releases,absent
Tenpi,Video-Player,0.1.6,exe,Tenpi.VideoPlayer,Video-Player-Setup-0.1.6.exe,PatternMatchOnlyNum,Yes,v0.1.8,v0.1.8,absent
antares-sql,antares,0.7.22,exe,Fabio286.antares,Antares-0.7.22-win_x64.exe,PatternMatchOnlyNum,Yes,v0.7.23,v0.7.23,absent
nojsja,shadowsocks-electron,1.1.4,exe,nojsja.ShadowsocksElectron,Shadowsocks.Electron.Setup.1.1.4.exe,PatternMatchOnlyNum,Yes,v1.2.3,v1.2.3,absent
HMCL-dev,HMCL,3.5.6.239,exe,huanghongxun.HelloMinecraftLauncher,HMCL-3.5.6.239.exe,PatternMatchOnlyNum,Yes,v3.5.7.245,v3.5.7.245,absent
Tenpi,Photo-Viewer,0.2.0,exe,Tenpi.PhotoViewer,Photo-Viewer-Setup-0.2.0.exe,PatternMatchOnlyNum,Yes,v0.2.1,v0.2.1,absent
cozy-labs,cozy-desktop,3.38.0,exe,CozyCloud.CozyDrive,Cozy-Drive-Setup-3.38.0.exe,PatternMatchOnlyNum,Yes,v3.39.0,v3.40.0-beta.1,present
docmirror,dev-sidecar,1.7.3,exe,docmirror.dev-sidecar,DevSidecar-1.7.3.exe,PatternMatchOnlyNum,Yes,v1.8.0,v1.8.0,absent
Suwayomi,Tachidesk-Server,0.7.0,msi,Suwayomi.Tachidesk-Server,Tachidesk-Server-v0.7.0-r1197-windows-x64.msi,PatternMatchOnlyNum,Yes,v1.0.0,v1.0.0,absent
GPUOpen-Tools,ocat,1.6.2,exe,AMD.OCAT,OCAT_v1.6.2.exe,PatternMatchOnlyNum,Yes,v1.6.3,v1.6.3,absent
Todolist-io,Todolist-releases,0.43.18,exe,blaadje.Todolist,Todolist-Setup-0.43.18.exe,PatternMatchOnlyNum,Yes,v0.43.21,v0.43.21,absent
ebkr,r2modmanPlus,3.1.47,exe,ebkr.r2modman,r2modman-3.1.47.exe,PatternMatchOnlyNum,Yes,v3.1.48,v3.1.48,absent
occ-ai,obs-backgroundremoval,1.1.8,exe,RoyShilkrot.obs-backgroundremoval,obs-backgroundremoval-1.1.8-windows-x64-Installer.exe,PatternMatchOnlyNum,Yes,1.1.13,1.1.13,absent
feliskio,sleep-timer,1.2.0,exe,feliskio.sleep-timer,Sleep.Timer.Setup.1.2.0.exe,PatternMatchOnlyNum,Yes,v2.2.0,v2.2.0,absent
Shabinder,SpotiFlyer,3.6.3,msi,Shabinder.SpotiFlyer,SpotiFlyer-3.6.3.msi,PatternMatchOnlyNum,Yes,v3.6.4,v3.6.4,absent
Valkirie,HandheldCompanion,0.18.0.6,exe,BenjaminLSR.HandheldCompanion,HandheldCompanion-0.18.0.6.exe,PatternMatchOnlyNum,Yes,0.20.4.1,0.20.4.1,absent
succlz123,AcFun-Client-Multiplatform,1.0.4,msi,succlz123.AcFun,AcFun-Windows-1.0.4.msi,PatternMatchOnlyNum,Yes,v1.0.5,v1.0.5,absent
SoupBuild,Soup,0.37.0,msi,SoupBuild.Soup,soup-build-0.37.0-windows-x64.msi,PatternMatchOnlyNum,Yes,v0.38.1,v0.38.1,absent
MarshallChang,Manyi-transformer,1.0.0,exe,MarshallChang.ManyiTransformer,Manyi-Transformer-Setup-1.0.0.exe,PatternMatchOnlyNum,Yes,v1.2.0,v1.2.0,absent
pioneerspacesim,pioneer,20230203,exe,PioneerDevelopers.Pioneer,pioneer-20230203-win.exe,PatternMatchOnlyNum,Yes,20240314,20240314,absent
tschoonj,GTK-for-Windows-Runtime-Environment-Installer,3.24.31,exe,tschoonj.GTKForWindows,gtk3-runtime-3.24.31-2022-01-04-ts-win64.exe,PatternMatchOnlyNum,Yes,2022-01-04,2022-01-04,absent
unknownskl,greenlight,2.1.1,exe,UnknownSKL.Greenlight,Greenlight-Setup-2.1.1.exe,PatternMatchOnlyNum,Yes,v2.2.1,v2.2.1,absent
mar10,stressor,0.5.2.0,msi,mar10.stressor,stressor-0.5.2.0-win64.msi,PatternMatchOnlyNum,Yes,v0.5.2,v0.5.2,absent
SafeExamBrowser,seb-win-refactoring,3.7.0.682,exe,ETHZurich.SafeExamBrowser,SEB_3.7.0.682_SetupBundle.exe,PatternMatchOnlyNum,Yes,v3.7.0,v3.7.0,absent
roryok,poe-auto-updater,2.3.16,exe,roryok.poe-writer,Poe-Setup.2.3.16.exe,PatternMatchOnlyNum,Yes,2.5.4,2.5.4,absent
Reptarsrage,looking-glass,0.4.25,exe,Reptarsrage.looking-glass,The-Looking-Glass-Setup-0.4.25.exe,PatternMatchOnlyNum,Yes,v0.6.0,v0.6.0,absent
intxcc,pyaudio_portaudio,0.2.11,msi,intxcc.pyaudio,PyAudio-0.2.11.win-amd64-py3.7.msi,PatternMatchOnlyNum,Yes,1.1.1,1.1.1,absent
0neGal,viper,1.5.1,exe,OneGal.Viper,Viper-Setup-1.5.1.exe,PatternMatchOnlyNum,Yes,v1.11.0,v1.11.0,absent
ryanvolz,radioconda,2023.07.26,exe,ryanvolz.radioconda,radioconda-2023.07.26-Windows-x86_64.exe,PatternMatchOnlyNum,Yes,2024.01.26,2024.01.26,absent
undergroundwires,privacy.sexy,0.11.4,exe,undergroundwires.privacy.sexy,privacy.sexy-Setup-0.11.4.exe,PatternMatchOnlyNum,Yes,0.13.1,0.13.1,absent
amitmerchant1990,electron-markdownify,1.1.6,exe,amitmerchant1990.electron-markdownify,Markdownify-1.1.6.exe,PatternMatchOnlyNum,Yes,1.4.1,1.4.1,absent
Gimanh,handscream,1.12.2,exe,Gimanh.handscream,TaskView-1.12.2.Win.exe,PatternMatchOnlyNum,Yes,v1.13.0-w,v1.13.0-w,absent
cxong,cdogs-sdl,1.5.0,exe,CongusBongus.CDogsSDL,C-Dogs.SDL-1.5.0-win32.exe,PatternMatchOnlyNum,Yes,2.0.0,2.0.0,absent
tillitis,tillitis-key1-apps,0.0.6.0,msi,Tillitis.TKeySSHAgent,tkey-ssh-agent-0.0.6.0.msi,PatternMatchOnlyNum,Yes,v0.0.6,v0.0.6,absent
pbatard,libwdi,2.8,exe,akeo.ie.Zadig,zadig-2.8.exe,PatternMatchOnlyNum,Yes,v1.5.0,v1.5.0,absent
yetone,openai-translator,0.0.42,msi,yetone.OpenAITranslator,OpenAI.Translator_0.0.42_x64_en-US.msi,PatternMatchOnlyNum,Yes,v0.3.39,v0.3.39,absent
subhra74,xdm-experimental-binaries,8.0.12,msi,subhra74.XtremeDownloadManager.Beta,xdmsetup-8.0.12-x86.msi,PatternMatchOnlyNum,Yes,8.0.25-beta,8.0.25-beta,absent
halestudio,hale,5.0.1,msi,Wetransform.HaleStudio,hale-studio-5.0.1-en-x64.msi,PatternMatchOnlyNum,Yes,5.1.0,5.1.0,absent
trustcrypto,OnlyKey-App,5.3.6,exe,CryptoTrust.OnlyKeyApp,OnlyKey_5.3.6.exe,PatternMatchOnlyNum,Yes,v5.5.0,v5.5.0,absent
